Produto;Ano;UF de Origem;UF de Destino;Unidade;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;Total
Biodiesel B100;2019;PR;ES;m³; 1.191 ; 1.436 ; 2.335 ;; 693 ; 521 ; 860 ; 575 ;;;;; 7.611 
Biodiesel B100;2019;PR;MG;m³; 4.003 ; 4.111 ; 1.094 ; 1.262 ; 2.213 ; 1.994 ; 2.994 ; 2.808 ;;;;; 20.479 
Biodiesel B100;2019;PR;PR;m³; 16.840 ; 16.131 ; 19.941 ; 19.191 ; 17.813 ; 17.794 ; 13.986 ; 13.298 ;;;;; 134.995 
Biodiesel B100;2019;PR;RJ;m³; 4.933 ; 4.594 ; 3.535 ; 4.208 ; 6.513 ; 7.721 ; 7.340 ; 7.138 ;;;;; 45.981 
Biodiesel B100;2019;PR;RS;m³;;;;; 348 ;; 167 ; 626 ;;;;; 1.141 
Biodiesel B100;2019;PR;SC;m³; 788 ; 947 ; 1.194 ; 700 ; 1.023 ; 884 ; 1.168 ; 1.429 ;;;;; 8.133 
Biodiesel B100;2019;PR;SP;m³; 25.436 ; 23.918 ; 20.336 ; 23.222 ; 23.156 ; 22.481 ; 29.987 ; 29.631 ;;;;; 198.166 
Biodiesel B100;2019;RJ;BA;m³; 1.354 ; 1.312 ; 1.275 ;; 934 ; 1.102 ; 1.843 ; 1.525 ;;;;; 9.344 
Biodiesel B100;2019;RJ;ES;m³; 2.393 ; 2.085 ; 1.741 ; 2.663 ; 1.653 ; 2.724 ; 2.166 ; 3.630 ;;;;; 19.055 
Biodiesel B100;2019;RJ;PR;m³; 41 ;;;;;;;;;;;; 41 
Biodiesel B100;2019;RJ;MG;m³; 101 ; 131 ; 425 ; 1.334 ; 365 ; 773 ; 901 ; 890 ;;;;; 4.920 
Biodiesel B100;2019;RJ;RJ;m³; 3.846 ; 4.276 ; 2.615 ; 3.714 ; 3.311 ; 3.869 ; 7.560 ; 7.187 ;;;;; 36.377 
Biodiesel B100;2019;RJ;SP;m³; 1.203 ; 1.521 ; 1.321 ; 1.704 ; 1.297 ; 1.460 ; 1.032 ; 2.252 ;;;;; 11.789 
Biodiesel B100;2019;RJ;AM;m³;;;;;;;; 245 ;;;;; 245 
Biodiesel B100;2019;RO;MA;m³;; 95 ;; 95 ;;;;;;;;; 190 
Biodiesel B100;2019;RO;PA;m³; 1.856 ; 1.959 ; 929 ; 896 ; 1.196 ; 1.284 ; 235 ; 249 ;;;;; 8.605 
Biodiesel B100;2019;RS;ES;m³; 1.518 ; 1.304 ;; 1.615 ;;;;;;;;; 4.437 
Biodiesel B100;2019;RS;MG;m³; 171 ;; 170 ;;;; 459 ; 285 ;;;;; 1.086 
Biodiesel B100;2019;RS;PR;m³; 127 ; 124 ; 127 ; 165 ; 129 ; 127 ; 84 ; 169 ;;;;; 1.052 
Biodiesel B100;2019;RS;RJ;m³; 1.957 ; 2.013 ; 2.413 ; 3.243 ; 1.739 ; 2.159 ; 1.129 ; 1.436 ;;;;; 16.090 
Biodiesel B100;2019;RS;RS;m³; 66.382 ; 62.649 ; 71.015 ; 75.219 ; 65.525 ; 64.753 ; 76.062 ; 67.864 ;;;;; 549.469 
Biodiesel B100;2019;RS;SC;m³; 8.919 ; 8.950 ; 11.201 ; 12.797 ; 10.887 ; 10.186 ; 12.828 ; 13.017 ;;;;; 88.785 
Biodiesel B100;2019;RS;SP;m³; 36.919 ; 39.943 ; 41.593 ; 43.597 ; 42.590 ; 41.654 ; 41.358 ; 48.478 ;;;;; 336.132 
Biodiesel B100;2019;SC;PR;m³; 2.921 ; 1.937 ; 2.373 ; 2.217 ; 1.509 ; 1.512 ; 7.338 ; 7.339 ;;;;; 27.146 
Biodiesel B100;2019;SC;RJ;m³; 327 ; 326 ; 323 ; 227 ;;; 453 ;;;;;; 1.656 
Biodiesel B100;2019;SC;RS;m³; 591 ;;;; 82 ;; 82 ; 138 ;;;;; 893 
Biodiesel B100;2019;SC;SC;m³; 4.341 ; 4.373 ; 2.981 ; 3.075 ; 3.401 ; 3.444 ; 2.598 ; 2.642 ;;;;; 26.856 
Biodiesel B100;2019;SC;SP;m³; 2.358 ; 2.041 ; 5.840 ; 5.337 ; 4.753 ; 4.736 ; 1.136 ; 1.363 ;;;;; 27.564 
Biodiesel B100;2019;SP;ES;m³; 194 ; 199 ; 200 ; 75 ; 200 ; 194 ; 116 ; 157 ;;;;; 1.335 
Biodiesel B100;2019;SP;MA;m³;;;;;;;; 42 ;;;;; 42 
Biodiesel B100;2019;SP;MG;m³; 9.034 ; 9.019 ; 6.602 ; 4.308 ; 1.987 ; 1.711 ; 2.273 ; 3.324 ;;;;; 38.258 
Biodiesel B100;2019;SP;PR;m³;;; 175 ;;; 42 ;; 41 ;;;;; 258 
